,Fullname,IsCenter,ID
150,安徽上峰杰夏环保科技有限责任公司,False,150
151,凤阳县金鹏矿业有限公司,False,151
152,内蒙古国城资源综合利用有限公司,False,152
153,北京国城嘉华科技有限公司,False,153
154,内蒙古东升庙矿业有限责任公司,False,154
155,天津国瑞贸易有限公司,False,155
156,沈阳石蜡化工有限公司,False,156
157,浙江逸盛石化有限公司,False,157
158,宿迁逸达新材料有限公司,False,158
159,嘉兴逸鹏化纤有限公司,False,159
160,浙江双兔新材料有限公司,False,160
161,太仓逸枫化纤有限公司,False,161
162,福建逸锦化纤有限公司,False,162
163,恒逸实业国际有限公司(新加坡),False,163
164,海宁恒逸新材料有限公司,False,164
165,海宁恒逸热电有限公司,False,165
166,香港天逸国际控股有限公司,False,166
167,杭州逸暻化纤有限公司,False,167
168,浙江恒逸聚合物有限公司,False,168
169,恒逸实业(文莱)有限公司,False,169
170,浙江恒逸石化有限公司,False,170
171,浙江恒逸高新材料有限公司,False,171
172,海南逸盛石化有限公司,False,172
173,香港逸盛有限公司,False,173
174,泰富特钢国际贸易有限公司,False,174
175,靖江特殊钢有限公司,False,175
176,上海中特泰富钢管有限公司,False,176
177,上海中特泰富钢管有限公司并表子公司,False,177
178,湖北中航冶钢特种钢销售有限公司,False,178
179,浙江泰富无缝钢管有限公司,False,179
180,海南信泰材料科技有限公司,False,180
181,青岛特殊钢铁有限公司,False,181
182,大冶特殊钢有限公司,False,182
183,江阴兴澄特种钢铁有限公司,False,183
184,青岛美锦新能源汽车制造有限公司,False,184
185,佛山市飞驰汽车科技有限公司,False,185
186,山西美锦集团锦富煤业有限公司,False,186
187,山西美锦煤化工制氢有限公司,False,187
188,山西美锦华盛化工新材料有限公司,False,188
189,美锦(天津)贸易发展有限公司,False,189
190,山西美锦氢能科技有限公司,False,190
191,山西美锦集团东于煤业有限公司,False,191
192,佛山市高明区氢裕公交客运有限公司,False,192
193,美锦国鸿(浙江)氢能科技有限公司,False,193
194,云浮市飞驰新能源汽车有限公司,False,194
195,NFCKazakhstanLtd,False,195
196,中色俄罗斯有限责任公司,False,196
197,"中国有色金属建设股份有限公司与两家全资子公司NFCKazakhstanLtd,Acxap-Tay组成的联合体",False,197
198,新兴铸管(香港)有限公司,False,198
199,北新防水有限公司,False,199
200,梦牌新材料(宁国)有限公司,False,200
201,北新防水(河南)有限公司,False,201
202,贵州泰福石膏有限公司,False,202
203,天津灯塔涂料工业发展有限公司,False,203
204,北新禹王防水科技集团有限公司,False,204
205,瑞昌市民杰混凝土有限公司,False,205
206,江西玉山万年青水泥有限公司,False,206
207,江西于都南方万年青水泥有限公司,False,207
208,江西乐平万年青水泥有限公司,False,208
209,赣州于都万年青商砼有限公司,False,209
210,江西万年青塑料包装有限公司,False,210
211,崇义祥和万年青商砼有限公司,False,211
212,景德镇东鑫混凝土有限公司,False,212
213,江西万铜环保材料有限公司,False,213
214,江西赣州万年青新型材料有限公司,False,214
215,南昌万年青商砼有限公司,False,215
